customer_id,age,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,customer_satisfaction,support_calls,churn
CUST_000056,58,Female,0,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,62.46,1354.97,4,1,No
CUST_000057,32,Female,0,No,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,81.24,2039.73,4,1,No
CUST_000058,40,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,50.69,274.83,3,2,No
CUST_000059,49,Female,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,36.96,67.75,4,4,No
CUST_000060,59,Female,0,Yes,No,1,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,40.47,44.28,3,1,No
CUST_000061,37,Female,0,Yes,Yes,58,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,51.87,3246.9,3,0,No
CUST_000062,42,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,No,No,No,No,One year,No,Mailed check,47.78,467.43,4,3,No
CUST_000063,28,Male,0,Yes,Yes,2,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),44.38,80.47,5,1,No
CUST_000064,27,Male,0,Yes,No,15,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.16,816.8,3,2,No
CUST_000065,57,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,71.93,78.46,4,4,No
CUST_000066,65,Male,1,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.09,49.21,4,2,No
CUST_000067,43,Male,0,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,58.15,966.43,3,3,Yes
CUST_000068,60,Male,0,Yes,No,17,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.54,1121.53,4,3,No
CUST_000069,50,Male,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),75.95,1626.76,3,1,No
CUST_000070,35,Female,0,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.86,1286.16,3,0,No
CUST_000071,50,Female,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.47,905.04,4,4,No
CUST_000072,68,Female,1,No,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.81,311.27,3,0,Yes
CUST_000073,44,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,74.61,1951.96,2,3,Yes
CUST_000074,68,Female,1,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),84.45,727.33,3,1,No
CUST_000075,18,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,38.25,533.86,3,2,No
CUST_000076,57,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),23.31,281.84,4,2,No
CUST_000077,46,Female,0,Yes,Yes,9,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,37.78,321.84,4,2,No
CUST_000078,40,Male,0,Yes,No,6,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,48.92,317.91,3,1,Yes
CUST_000079,46,Male,0,No,Yes,1,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),63.62,66.08,4,2,No
CUST_000080,18,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49.52,841.89,4,2,No
CUST_000081,41,Male,0,Yes,No,18,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,62.58,1105.27,4,1,No
CUST_000082,50,Male,0,Yes,No,9,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),37.84,358.74,4,6,No
CUST_000083,67,Male,1,No,No,72,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),81.78,6139.14,4,5,No
CUST_000084,37,Male,0,No,No,19,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,64.92,1292.91,4,1,No
CUST_000085,32,Male,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Electronic check,56.76,2856.5,2,1,No
CUST_000086,37,Male,0,No,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,38.93,741.44,4,3,No
CUST_000087,58,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,40.88,220.05,4,1,Yes
CUST_000088,49,Female,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.78,2953.58,4,2,No
CUST_000089,37,Male,0,No,No,51,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.73,2420.88,5,3,No
CUST_000090,52,Female,0,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),40.66,633.69,3,2,No
CUST_000091,46,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),97.3,546.82,3,2,No
CUST_000092,59,Male,0,No,No,6,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,55.36,310.43,5,1,No
CUST_000093,34,Male,0,No,Yes,39,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),45.36,1859.38,4,1,No
CUST_000094,40,Female,0,No,No,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),56.04,61.51,4,2,No
CUST_000095,39,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),54.51,1419.87,3,1,Yes
CUST_000096,23,Female,0,No,No,24,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,40.52,914.02,5,1,No
CUST_000097,49,Female,0,No,No,4,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),59.33,227.42,2,1,Yes
CUST_000098,48,Female,0,No,Yes,29,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),43.99,1377.8,4,2,No
CUST_000099,45,Female,0,Yes,No,29,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,50.28,1570.65,4,2,No
CUST_000100,41,Female,0,Yes,No,10,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.01,621.27,4,3,No
CUST_000101,23,Male,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),51.87,719.93,1,2,No
CUST_000102,38,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),44.28,1773.4,3,1,No
CUST_000103,39,Female,0,Yes,No,17,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),62.96,1129.67,4,4,No
CUST_000104,32,Female,0,Yes,No,23,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),42.56,1037.47,1,1,Yes
CUST_000105,42,Male,0,No,Yes,12,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,79.92,945.85,5,3,No
CUST_000106,51,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,80.97,251.86,3,0,Yes
CUST_000107,73,Male,1,No,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,68.89,4639.07,4,2,No
CUST_000108,47,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),47.25,783.81,4,2,No
CUST_000109,48,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.35,692.07,4,1,No
CUST_000110,43,Female,0,Yes,No,30,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.78,1772.25,1,2,No
CUST_000111,18,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,43.86,1046.65,4,1,No
CUST_000112,44,Male,0,No,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,39.49,217.99,5,2,No
CUST_000113,45,Female,0,Yes,No,50,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.12,3649.54,4,1,No
CUST_000114,80,Female,1,Yes,No,1,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),53.62,51.95,5,1,No
CUST_000115,42,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.98,1661.82,2,0,Yes
CUST_000116,49,Male,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),53.49,789.38,5,0,No
CUST_000117,44,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),63.71,537.26,3,0,No
CUST_000118,27,Female,0,Yes,No,42,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),52.57,2128.14,5,1,No
CUST_000119,62,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,46.5,1055.48,4,2,No
CUST_000120,56,Female,0,No,No,34,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),29.84,1078.15,4,4,No
CUST_000121,56,Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,47.91,580.84,4,2,No
CUST_000122,31,Male,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.0,5249.07,4,0,Yes
CUST_000123,66,Male,1,No,Yes,10,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),43.53,399.69,4,3,No
CUST_000124,23,Male,0,No,Yes,18,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,47.8,857.61,3,0,No
CUST_000125,53,Female,0,Yes,Yes,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),52.67,3532.32,4,2,No
CUST_000126,77,Female,1,Yes,No,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,47.92,96.24,4,2,No
CUST_000127,30,Male,0,No,No,2,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,66.82,121.78,5,2,No
CUST_000128,36,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),56.56,4031.54,4,2,No
CUST_000129,46,Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,35.77,2460.72,3,2,No
CUST_000130,37,Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,48.36,1650.29,3,3,No
CUST_000131,21,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,71.41,1025.56,4,1,No
CUST_000132,46,Male,0,Yes,Yes,16,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),72.24,1106.15,3,8,Yes
CUST_000133,29,Female,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,51.06,376.72,3,3,No
CUST_000134,52,Male,0,No,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),35.14,434.19,3,0,No
CUST_000135,31,Female,0,Yes,Yes,13,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,59.76,854.44,3,1,No
CUST_000136,68,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,83.81,91.38,4,2,No
CUST_000137,33,Female,0,No,Yes,14,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,54.12,745.75,5,0,No
CUST_000138,40,Female,0,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,73.47,998.16,3,1,Yes
CUST_000139,57,Male,0,Yes,No,26,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,78.88,2021.65,3,0,No
CUST_000140,26,Male,0,Yes,No,17,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,69.37,1144.88,3,2,No
CUST_000141,48,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,38.85,1707.53,2,4,No
CUST_000142,64,Female,0,No,No,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,34.59,359.93,3,1,No
CUST_000143,20,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),54.4,616.66,1,3,No
CUST_000144,47,Female,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,92.27,1784.92,4,4,No
CUST_000145,48,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),22.39,113.76,4,2,No
CUST_000146,56,Male,0,Yes,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,32.49,393.99,4,3,No
CUST_000147,26,Male,0,Yes,No,27,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),80.05,2129.57,5,0,Yes
CUST_000148,25,Male,0,No,Yes,12,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),35.15,444.79,3,3,No
CUST_000149,52,Female,0,Yes,Yes,56,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),62.5,3384.96,4,4,No
CUST_000150,49,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),32.02,758.61,4,0,No
CUST_000151,48,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.08,131.27,3,0,Yes
CUST_000152,50,Male,0,No,No,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),49.28,729.79,2,1,No
CUST_000153,34,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,36.78,1189.71,2,2,No
CUST_000154,48,Female,0,No,Yes,24,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),69.22,1569.75,4,3,No
CUST_000155,49,Male,0,No,No,51,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,79.12,4374.26,4,2,No
CUST_000156,34,Female,0,No,Yes,33,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,32.31,1068.36,3,2,No
CUST_000157,72,Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),41.89,43.58,3,2,Yes
CUST_000158,52,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,62.6,134.9,3,2,No
CUST_000159,27,Female,0,No,No,25,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,44.08,1118.3,2,1,No
CUST_000160,54,Male,0,No,No,6,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),55.85,304.6,2,2,Yes
CUST_000161,30,Male,0,Yes,Yes,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,58.04,1112.3,3,1,No
CUST_000162,56,Male,0,No,No,37,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,39.86,1375.36,4,2,No
CUST_000163,62,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,35.68,692.31,4,1,Yes
CUST_000164,32,Male,0,Yes,No,12,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),58.43,661.0,5,3,No
CUST_000165,59,Male,0,Yes,No,24,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,48.62,1067.86,5,1,No
CUST_000166,51,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Mailed check,59.76,175.55,4,0,No
