property_id,neighborhood,distance_to_city_center,distance_to_metro,distance_to_school,crime_rate,house_age,total_area,bedrooms,bathrooms,floors,garage,garden,basement,balcony,construction_quality,renovation_status,heating_type,air_conditioning,parking_spaces,energy_efficiency,listing_duration,season_sold,year_sold,sale_price
PROP_000012,Downtown,0.5,475,32,1.0,1,90,4,3,2,1,1,0,0,Standard,Never,Electric,1,0,B,27,Winter,2021,625.0
PROP_000013,Lakeside,2.1,136,30,1.0,28,295,3,3,2,0,0,0,0,Standard,Partial,Electric,1,3,B,16,Fall,2020,1200.0
PROP_000014,Elmwood,13.6,478,1032,1.0,3,199,2,1,2,1,1,0,1,Basic,Full,Gas,1,1,G,9,Summer,2022,586.8
PROP_000015,Riverside,6.2,50,30,1.0,1,113,4,2,2,1,1,0,0,Premium,Partial,Central,1,0,D,8,Summer,2021,1073.5
PROP_000016,Elmwood,2.2,140,590,1.0,5,86,2,3,1,1,0,0,0,Basic,Never,Central,0,2,E,51,Spring,2022,210.7
PROP_000017,Cedar Park,0.9,219,336,1.0,1,229,4,3,1,1,1,0,1,Standard,Never,Gas,1,1,E,7,Summer,2022,1200.0
PROP_000018,Prairie Meadows,7.5,234,38,1.0,26,380,3,3,1,1,0,0,1,Premium,Never,Central,0,1,D,13,Winter,2023,1200.0
PROP_000019,Prairie Meadows,0.5,194,31,1.0,12,289,4,3,1,1,1,1,0,Standard,Never,Central,1,1,F,24,Spring,2021,1033.2
PROP_000020,Maple Heights,0.6,197,474,1.0,4,278,5,3,2,0,0,1,1,Standard,Never,Electric,1,2,B,24,Spring,2022,1200.0
PROP_000021,Riverside,0.5,566,108,1.0,2,153,4,2,2,1,0,0,1,Basic,Never,Central,0,0,C,16,Spring,2022,816.0
PROP_000022,Forest Glen,20.2,50,30,1.0,54,109,3,1,1,1,0,0,0,Basic,Full,Gas,1,1,B,55,Winter,2020,145.9
PROP_000023,Elmwood,0.5,845,414,1.0,1,136,4,3,2,0,0,0,1,Standard,Partial,Gas,1,2,E,25,Fall,2021,590.6
PROP_000024,Prairie Meadows,4.1,931,330,1.0,25,72,2,4,2,0,1,1,1,Premium,Full,Central,0,2,G,34,Fall,2022,363.6
PROP_000025,Mountain View,1.0,50,69,1.0,4,122,5,2,2,1,0,0,0,Basic,Never,Gas,1,3,G,35,Fall,2020,595.3
PROP_000026,Elmwood,14.7,1073,92,1.0,3,69,2,1,2,1,0,0,0,Premium,Partial,Gas,0,2,G,23,Spring,2020,172.9
PROP_000027,Lakeside,0.5,294,66,1.0,3,64,3,3,1,0,0,0,1,Basic,Never,Gas,1,2,C,30,Summer,2023,380.2
PROP_000028,Elmwood,1.8,50,321,1.0,50,50,1,2,3,1,0,0,1,Standard,Partial,Gas,1,2,D,3,Spring,2020,149.4
PROP_000029,Cedar Park,4.6,50,308,1.0,7,116,4,2,1,1,0,0,1,Standard,Partial,Electric,1,2,A,7,Summer,2020,648.2
PROP_000030,Riverside,0.5,500,30,1.0,23,51,3,3,2,1,1,0,1,Basic,Never,Central,1,2,G,79,Summer,2022,211.4
PROP_000031,Cedar Park,3.9,498,30,1.0,3,62,2,2,2,0,1,1,1,Standard,Partial,Gas,0,2,C,31,Spring,2020,364.7
PROP_000032,Hillcrest,6.2,248,30,1.0,23,82,2,4,2,0,1,0,1,Standard,Never,Central,1,2,F,19,Fall,2020,328.0
PROP_000033,Cedar Park,2.8,2373,174,1.0,25,63,3,3,2,0,0,1,1,Basic,Partial,Electric,1,2,E,7,Winter,2022,172.9
PROP_000034,Garden City,4.6,625,571,1.0,17,50,3,2,1,1,1,1,1,Standard,Partial,Electric,1,1,G,19,Summer,2023,238.4
PROP_000035,Sunset District,11.1,185,90,1.0,15,57,2,2,1,1,1,0,0,Basic,Never,Central,0,2,E,14,Spring,2021,138.2
PROP_000036,Mountain View,0.5,527,70,1.0,16,69,3,4,3,1,0,1,0,Standard,Never,Central,0,1,C,19,Spring,2020,488.9
PROP_000037,Pine Valley,4.4,970,297,1.0,55,52,2,3,2,0,1,1,0,Standard,Never,Central,1,1,D,32,Fall,2020,125.1
PROP_000038,Maple Heights,10.8,56,38,1.0,25,290,3,2,2,1,1,1,1,Standard,Full,Electric,1,0,G,13,Spring,2021,1200.0
PROP_000039,Forest Glen,11.1,50,128,1.0,26,393,4,2,2,1,0,1,0,Basic,Never,Gas,1,2,A,27,Summer,2020,1012.8
PROP_000040,Pine Valley,2.5,115,670,1.0,7,166,3,4,2,1,1,1,0,Premium,Never,Central,1,2,F,45,Summer,2023,1200.0
PROP_000041,Prairie Meadows,3.9,403,128,1.0,0,50,4,2,2,1,1,0,0,Standard,Partial,Central,1,1,E,15,Summer,2023,247.1
PROP_000042,Cedar Park,1.9,137,30,1.0,15,136,3,3,2,1,1,1,1,Standard,Full,Central,0,3,G,63,Winter,2022,944.7
PROP_000043,Sunset District,1.7,50,321,1.0,16,50,4,3,3,1,0,1,1,Standard,Partial,Gas,0,3,A,14,Summer,2023,498.0
PROP_000044,Lakeside,7.0,50,47,1.0,7,164,1,2,2,1,1,1,0,Premium,Full,Electric,1,2,B,12,Fall,2021,1200.0
PROP_000045,Lakeside,3.6,247,30,1.0,17,50,4,2,1,1,1,1,1,Standard,Partial,Electric,0,2,F,38,Fall,2022,347.3
PROP_000046,Pine Valley,2.8,193,30,1.0,47,411,4,3,2,0,1,0,1,Standard,Never,Central,0,1,C,7,Summer,2023,1200.0
PROP_000047,Sunset District,2.4,361,123,1.0,14,73,6,2,2,1,1,1,1,Basic,Never,Gas,1,1,B,23,Spring,2023,470.8
PROP_000048,Hillcrest,2.9,742,34,1.0,19,279,4,3,2,1,1,0,1,Standard,Partial,Electric,0,1,A,42,Spring,2020,1200.0
PROP_000049,Hillcrest,2.9,86,152,1.0,24,50,3,2,1,1,0,0,1,Standard,Never,Electric,1,1,C,5,Summer,2022,281.9
PROP_000050,Hillcrest,7.9,162,63,1.0,2,368,4,1,2,1,1,1,1,Premium,Full,Gas,0,3,B,17,Spring,2021,1200.0
PROP_000051,Cedar Park,3.4,403,30,1.0,8,50,3,2,2,1,1,0,1,Standard,Partial,Electric,1,1,C,32,Summer,2021,231.7
PROP_000052,Lakeside,1.5,288,82,1.0,17,136,4,3,2,0,1,1,1,Standard,Partial,Gas,0,1,C,8,Summer,2022,1200.0
PROP_000053,Elmwood,2.5,50,835,1.0,8,143,2,3,3,1,1,1,1,Standard,Partial,Electric,0,1,D,3,Summer,2022,751.4
PROP_000054,Hillcrest,9.0,153,347,1.0,11,257,4,2,2,1,1,1,0,Standard,Partial,Central,0,1,E,1,Spring,2023,1200.0
PROP_000055,Downtown,3.8,50,30,1.0,19,156,2,2,2,1,1,1,1,Standard,Full,Central,0,2,E,3,Fall,2021,1119.0
PROP_000056,Garden City,3.3,499,78,1.0,24,131,4,2,2,1,1,0,1,Standard,Never,Gas,1,0,G,38,Summer,2023,395.4
PROP_000057,Riverside,1.0,1052,78,1.0,12,115,4,2,3,1,1,0,0,Standard,Never,Central,0,2,C,13,Fall,2022,640.0
PROP_000058,Prairie Meadows,1.5,631,221,1.0,7,117,5,2,3,1,0,0,0,Standard,Partial,Central,1,1,C,5,Spring,2021,472.6
PROP_000059,Pine Valley,4.9,789,192,1.0,2,264,1,4,2,1,1,1,1,Premium,Full,Electric,0,0,C,5,Spring,2020,1200.0
PROP_000060,Elmwood,12.2,905,64,1.0,5,149,4,3,1,1,0,0,1,Premium,Full,Central,0,2,G,8,Fall,2020,489.4
PROP_000061,Pine Valley,7.7,240,406,1.0,9,202,2,2,1,1,0,1,0,Basic,Partial,Electric,0,3,D,75,Summer,2021,579.6
PROP_000062,Prairie Meadows,1.4,50,884,1.0,2,199,3,2,2,1,0,0,1,Standard,Never,Electric,0,1,A,50,Summer,2022,929.6
PROP_000063,Sunset District,3.5,50,30,1.0,1,93,3,3,2,0,0,0,1,Standard,Never,Electric,1,0,C,2,Spring,2020,570.4
PROP_000064,Lakeside,6.7,859,66,1.0,3,73,3,3,3,0,1,1,1,Premium,Full,Central,0,1,F,19,Summer,2021,866.3
PROP_000065,Maple Heights,3.0,64,82,1.0,12,213,6,3,2,1,1,0,0,Standard,Partial,Electric,0,2,D,21,Summer,2020,1200.0
PROP_000066,Mountain View,0.8,50,85,1.0,8,107,6,2,2,0,1,1,0,Basic,Partial,Gas,0,1,C,20,Summer,2023,700.4
PROP_000067,Cedar Park,0.5,957,155,1.0,20,54,4,2,2,1,0,1,0,Standard,Never,Electric,1,0,C,46,Summer,2021,214.6
PROP_000068,Sunset District,2.5,311,137,1.0,6,50,1,2,1,0,1,1,0,Basic,Never,Central,0,1,D,17,Fall,2020,129.5
PROP_000069,Coastal Heights,0.5,50,96,1.0,6,72,3,3,1,1,0,0,1,Basic,Partial,Electric,1,2,F,15,Summer,2021,457.0
PROP_000070,Hillcrest,3.8,181,85,1.0,0,233,4,4,1,0,1,0,1,Standard,Never,Central,0,3,D,11,Fall,2021,1200.0
PROP_000071,Lakeside,1.9,95,37,1.0,4,267,3,2,2,1,1,1,1,Basic,Partial,Gas,1,3,A,37,Fall,2020,1200.0
PROP_000072,Garden City,5.3,983,68,1.0,8,215,2,3,2,1,1,0,1,Basic,Partial,Gas,0,2,G,39,Fall,2023,773.1
PROP_000073,Riverside,1.9,224,30,1.0,15,111,3,3,2,1,1,1,0,Basic,Never,Electric,0,2,B,2,Spring,2021,582.5
PROP_000074,Mountain View,0.5,50,88,1.0,5,109,3,3,2,1,1,1,0,Standard,Partial,Gas,1,0,E,25,Summer,2021,791.1
PROP_000075,Elmwood,0.8,1178,78,1.0,11,407,4,2,3,1,1,0,0,Standard,Partial,Central,0,1,C,52,Fall,2021,1200.0
PROP_000076,Prairie Meadows,4.6,50,680,1.0,5,234,2,2,2,1,1,1,1,Basic,Partial,Gas,0,1,C,8,Spring,2020,583.5
PROP_000077,Hillcrest,1.7,85,38,1.0,11,82,4,3,1,0,0,0,1,Basic,Partial,Electric,0,1,B,7,Fall,2021,378.5
PROP_000078,Hillcrest,0.6,287,50,1.0,10,99,2,2,2,1,0,1,0,Basic,Partial,Electric,1,2,D,59,Summer,2023,555.6
PROP_000079,Elmwood,10.4,505,30,1.0,20,173,3,2,2,1,1,1,1,Basic,Partial,Electric,1,2,D,37,Fall,2021,462.6
PROP_000080,Forest Glen,5.7,50,336,1.0,6,136,3,1,1,1,1,0,1,Standard,Partial,Electric,1,3,B,12,Winter,2022,550.5
PROP_000081,Sunset District,2.5,191,179,1.0,9,207,5,4,1,1,1,1,1,Basic,Partial,Electric,0,2,C,53,Fall,2022,1113.8
PROP_000082,Riverside,6.6,549,30,1.0,1,241,3,3,1,1,0,1,0,Basic,Full,Gas,1,3,B,4,Fall,2023,1200.0
PROP_000083,Maple Heights,0.5,605,52,1.0,10,99,1,4,1,1,0,1,0,Standard,Never,Central,1,2,B,6,Spring,2023,627.2
PROP_000084,Downtown,1.4,50,30,1.0,28,50,5,2,2,0,0,0,0,Basic,Never,Central,0,1,B,1,Summer,2022,244.0
PROP_000085,Forest Glen,2.4,515,30,1.0,19,224,4,3,2,0,1,1,0,Standard,Full,Central,0,2,G,44,Fall,2023,1185.7
PROP_000086,Sunset District,1.5,50,30,1.0,24,139,3,2,2,1,1,1,0,Premium,Never,Electric,1,0,D,5,Summer,2021,840.2
PROP_000087,Lakeside,0.8,341,30,1.0,5,329,3,2,2,1,1,0,1,Standard,Never,Electric,1,2,B,42,Fall,2020,1200.0
PROP_000088,Mountain View,0.5,418,30,1.0,24,238,1,3,1,1,0,0,1,Standard,Partial,Electric,1,1,A,18,Winter,2020,1131.2
PROP_000089,Riverside,0.5,497,138,1.0,20,151,6,3,2,1,1,1,1,Standard,Full,Gas,0,0,D,10,Spring,2022,1200.0
PROP_000090,Mountain View,2.3,258,30,1.0,30,114,3,4,1,0,0,0,0,Basic,Full,Central,0,2,A,2,Summer,2020,788.8
PROP_000091,Mountain View,2.6,442,30,1.0,8,78,4,3,2,1,0,1,0,Standard,Never,Central,1,0,E,8,Fall,2023,522.9
PROP_000092,Sunset District,3.4,682,145,1.0,33,209,3,2,1,1,1,0,0,Basic,Partial,Gas,1,2,C,46,Spring,2022,849.8
PROP_000093,Mountain View,0.6,50,53,1.0,0,363,4,2,1,0,1,0,0,Standard,Full,Electric,0,2,E,35,Spring,2020,1200.0
PROP_000094,Cedar Park,10.9,989,192,1.0,4,178,4,2,3,1,1,0,1,Basic,Never,Central,1,2,D,7,Summer,2023,744.2
PROP_000095,Downtown,1.3,290,30,1.0,28,57,3,3,1,0,0,0,1,Standard,Partial,Gas,0,2,A,35,Winter,2023,253.7
PROP_000096,Oakwood,0.5,50,30,1.0,14,250,2,2,2,0,0,1,0,Standard,Never,Central,0,2,A,10,Fall,2022,1200.0
PROP_000097,Downtown,2.9,60,31,1.0,21,274,4,2,3,0,0,1,0,Standard,Full,Central,1,2,E,75,Spring,2020,1200.0
PROP_000098,Forest Glen,1.5,50,30,1.0,13,77,3,3,2,0,0,0,0,Standard,Never,Electric,0,0,G,49,Winter,2020,179.0
PROP_000099,Garden City,0.6,50,410,1.0,0,68,4,2,2,0,0,0,0,Standard,Partial,Electric,1,2,G,1,Spring,2020,311.8
PROP_000100,Mountain View,0.5,104,416,1.0,30,311,6,3,3,1,0,1,0,Standard,Partial,Electric,0,3,D,99,Summer,2020,1200.0
PROP_000101,Sunset District,3.8,276,641,1.0,15,123,3,4,2,0,0,1,0,Standard,Partial,Central,0,3,G,7,Winter,2021,612.7
PROP_000102,Lakeside,1.6,214,122,1.0,6,207,4,2,2,1,1,0,1,Premium,Full,Gas,0,2,C,41,Fall,2022,1200.0
PROP_000103,Forest Glen,5.8,185,232,1.0,40,68,5,2,1,1,0,0,0,Basic,Never,Central,1,1,D,16,Winter,2020,125.0
PROP_000104,Elmwood,8.1,865,108,1.0,3,186,1,2,2,1,0,1,0,Standard,Partial,Electric,0,1,C,10,Fall,2023,728.6
PROP_000105,Mountain View,6.2,167,66,1.0,6,50,5,2,2,0,0,0,1,Basic,Partial,Electric,0,3,C,55,Spring,2023,345.8
PROP_000106,Sunset District,5.1,50,86,1.0,5,120,2,3,1,1,1,1,0,Standard,Partial,Electric,0,0,A,2,Summer,2020,719.4
PROP_000107,Mountain View,2.2,131,141,1.0,18,50,5,2,2,1,0,1,1,Basic,Partial,Gas,0,2,E,8,Spring,2020,272.8
PROP_000108,Lakeside,0.5,394,30,1.0,0,274,3,3,2,1,1,1,1,Premium,Partial,Gas,0,1,D,14,Spring,2020,1200.0
PROP_000109,Lakeside,5.4,242,198,1.0,6,259,3,3,2,1,1,0,0,Standard,Never,Central,0,0,C,33,Spring,2023,1200.0
PROP_000110,Elmwood,2.0,109,93,1.0,3,156,3,1,1,0,0,1,1,Standard,Never,Central,0,2,A,70,Fall,2023,606.3
PROP_000111,Elmwood,4.9,660,874,1.0,5,172,2,3,2,1,0,0,0,Basic,Never,Electric,0,2,A,20,Summer,2023,457.2
PROP_000112,Garden City,3.1,787,271,1.0,6,284,4,3,2,1,0,0,1,Premium,Full,Electric,1,2,F,5,Spring,2020,1200.0
PROP_000113,Forest Glen,1.1,453,179,1.0,25,147,4,3,2,0,0,0,1,Basic,Never,Central,1,0,F,14,Summer,2021,440.7
PROP_000114,Coastal Heights,5.9,365,30,1.0,29,145,5,3,2,1,1,0,0,Basic,Partial,Electric,0,3,G,25,Fall,2022,830.7
PROP_000115,Oakwood,0.5,284,120,1.0,30,382,2,3,2,1,0,0,0,Premium,Full,Gas,0,2,D,95,Spring,2020,1200.0
PROP_000116,Hillcrest,3.1,771,169,1.0,21,171,6,3,2,1,0,0,1,Standard,Never,Central,1,1,C,5,Summer,2023,1176.6
PROP_000117,Downtown,0.7,50,179,1.0,0,247,1,2,2,1,1,0,0,Standard,Never,Central,0,2,B,15,Spring,2022,1200.0
PROP_000118,Elmwood,2.6,760,379,1.0,0,235,3,2,2,0,0,0,0,Basic,Full,Gas,0,1,D,45,Fall,2020,638.0
PROP_000119,Lakeside,5.1,61,84,1.0,13,288,3,3,2,1,0,0,0,Standard,Full,Central,1,1,G,30,Summer,2022,1200.0
PROP_000120,Downtown,3.2,63,71,1.0,3,81,6,1,2,1,1,0,1,Basic,Full,Central,0,1,F,75,Spring,2020,622.7
PROP_000121,Elmwood,25.0,563,401,1.0,6,167,2,2,2,1,1,0,1,Standard,Full,Gas,1,1,F,47,Winter,2023,377.3
PROP_000122,Coastal Heights,1.8,161,30,1.0,3,332,4,3,1,1,0,1,0,Standard,Full,Central,0,1,E,7,Spring,2022,1200.0
PROP_000123,Elmwood,9.6,50,286,1.0,1,197,3,3,2,1,0,0,0,Standard,Partial,Central,1,2,B,6,Spring,2021,1023.9
PROP_000124,Garden City,2.7,232,115,1.0,2,86,5,2,2,1,1,1,1,Premium,Full,Electric,0,1,D,42,Spring,2020,969.8
PROP_000125,Prairie Meadows,2.1,50,288,1.0,12,80,3,3,2,1,1,1,1,Premium,Never,Central,0,0,B,27,Fall,2021,430.2
PROP_000126,Hillcrest,2.6,50,30,1.0,1,133,3,2,2,0,1,0,0,Standard,Full,Central,0,0,F,11,Winter,2022,846.3
PROP_000127,Prairie Meadows,0.5,134,30,1.0,4,55,4,2,1,0,1,0,0,Premium,Partial,Central,1,0,D,9,Winter,2021,249.9
PROP_000128,Cedar Park,2.6,265,111,1.0,10,175,3,3,2,0,0,1,0,Basic,Partial,Central,1,1,D,5,Spring,2023,687.2
PROP_000129,Coastal Heights,1.1,130,63,1.0,3,72,3,4,1,0,1,1,0,Standard,Never,Central,0,2,D,1,Fall,2022,552.1
PROP_000130,Hillcrest,1.5,327,31,1.0,5,150,2,3,3,1,1,1,1,Standard,Partial,Electric,1,1,A,40,Winter,2022,1200.0
PROP_000131,Sunset District,0.5,1171,30,1.0,1,84,4,3,2,1,1,0,1,Standard,Never,Central,0,2,B,40,Winter,2021,527.9
PROP_000132,Maple Heights,2.8,50,30,1.0,31,453,3,4,2,1,1,1,1,Premium,Never,Central,1,0,C,24,Winter,2022,1200.0
PROP_000133,Hillcrest,5.7,50,61,1.0,4,50,4,2,1,1,0,1,0,Basic,Never,Central,0,2,A,34,Spring,2023,321.0
PROP_000134,Coastal Heights,0.5,58,30,1.0,24,131,3,3,1,1,0,1,1,Standard,Full,Gas,0,0,D,3,Spring,2021,840.7
PROP_000135,Hillcrest,2.3,442,191,1.0,6,201,3,3,2,1,1,1,0,Standard,Never,Gas,0,2,A,16,Spring,2020,1200.0
PROP_000136,Maple Heights,0.5,139,170,1.0,3,50,4,4,2,1,1,1,0,Standard,Partial,Electric,0,2,F,29,Spring,2020,429.5
PROP_000137,Prairie Meadows,3.4,829,76,1.0,21,281,5,3,3,0,1,0,1,Premium,Partial,Central,0,0,G,163,Fall,2022,954.4
PROP_000138,Oakwood,1.0,872,30,1.0,11,270,3,2,1,0,0,0,1,Premium,Partial,Central,0,1,C,25,Spring,2021,1200.0
PROP_000139,Hillcrest,3.5,110,262,1.0,13,107,2,4,1,1,0,1,1,Standard,Never,Central,1,2,D,7,Fall,2021,503.6
PROP_000140,Oakwood,16.9,241,30,1.0,3,111,3,1,1,1,1,0,0,Basic,Never,Electric,1,2,A,44,Fall,2022,358.8
PROP_000141,Mountain View,2.3,487,134,1.0,49,78,3,4,2,1,1,0,0,Premium,Full,Central,0,0,C,65,Summer,2023,1068.0
PROP_000142,Forest Glen,3.6,204,195,1.0,10,122,5,3,1,0,0,1,1,Basic,Never,Electric,0,2,C,26,Fall,2023,393.7
PROP_000143,Sunset District,0.8,531,103,1.0,7,74,3,2,2,1,1,1,1,Standard,Full,Central,1,2,E,45,Spring,2023,652.3
PROP_000144,Forest Glen,3.6,56,373,1.0,56,83,4,4,1,0,1,1,0,Premium,Partial,Central,1,1,D,90,Spring,2023,480.9
PROP_000145,Oakwood,0.5,50,572,1.0,12,408,4,2,1,0,1,1,1,Basic,Full,Central,0,2,E,13,Winter,2022,1200.0
PROP_000146,Lakeside,6.6,58,135,1.0,30,104,2,2,1,1,1,0,1,Standard,Partial,Gas,1,1,C,15,Spring,2022,547.9
PROP_000147,Maple Heights,1.7,229,77,1.0,7,125,3,2,1,1,0,0,0,Premium,Full,Electric,1,3,D,25,Summer,2022,1025.8
PROP_000148,Lakeside,0.5,263,34,1.0,1,132,3,1,2,1,1,1,0,Premium,Never,Central,1,2,B,54,Summer,2020,1200.0
PROP_000149,Lakeside,0.7,84,89,1.0,0,99,4,2,2,0,0,0,0,Standard,Never,Gas,0,2,A,12,Spring,2020,651.7
PROP_000150,Forest Glen,5.8,215,99,1.0,33,221,5,3,2,1,0,1,1,Standard,Partial,Central,1,2,F,40,Fall,2021,1147.8
PROP_000151,Prairie Meadows,5.9,797,101,1.0,48,72,3,4,2,1,0,1,1,Premium,Never,Central,0,1,E,27,Summer,2020,307.0
PROP_000152,Lakeside,1.1,662,277,1.0,7,282,2,3,1,0,0,0,0,Premium,Never,Gas,0,1,E,1,Fall,2020,1200.0
PROP_000153,Prairie Meadows,7.2,452,142,1.0,10,181,3,4,2,0,1,0,0,Standard,Full,Central,0,2,A,66,Spring,2021,824.0
PROP_000154,Maple Heights,5.1,219,30,1.0,6,193,3,3,2,1,1,0,0,Basic,Never,Central,0,3,C,9,Fall,2023,745.9
PROP_000155,Maple Heights,3.7,160,249,1.0,16,173,4,1,1,0,0,0,1,Standard,Partial,Central,1,1,E,52,Fall,2021,617.3
PROP_000156,Lakeside,1.4,142,138,1.0,30,244,4,3,2,0,1,1,0,Premium,Partial,Central,1,2,C,17,Spring,2020,1200.0
PROP_000157,Hillcrest,6.2,304,358,1.0,40,138,4,4,1,1,1,0,1,Standard,Partial,Electric,1,2,C,6,Spring,2021,854.6
PROP_000158,Maple Heights,2.0,322,371,1.0,1,200,2,2,2,1,1,0,1,Premium,Never,Gas,0,1,A,24,Summer,2023,1200.0
PROP_000159,Sunset District,4.8,572,37,1.0,8,96,3,2,1,1,0,1,0,Standard,Partial,Central,0,0,G,26,Spring,2023,386.6
PROP_000160,Garden City,3.0,87,835,1.0,0,144,2,2,2,1,0,0,1,Basic,Partial,Central,1,2,C,16,Fall,2021,573.2
PROP_000161,Cedar Park,0.5,1087,157,1.0,0,319,4,2,1,0,0,0,0,Standard,Partial,Central,1,1,B,12,Fall,2021,1137.3
PROP_000162,Prairie Meadows,4.1,160,92,1.0,17,198,2,4,2,1,1,0,1,Basic,Partial,Gas,0,0,A,1,Fall,2023,722.1
PROP_000163,Lakeside,0.5,223,280,1.0,8,180,4,3,1,1,1,1,0,Premium,Never,Central,0,1,C,5,Spring,2023,1200.0
PROP_000164,Cedar Park,4.1,523,313,1.0,10,152,5,3,2,0,1,0,1,Basic,Full,Central,1,0,D,3,Fall,2023,673.9
PROP_000165,Garden City,2.8,238,64,1.0,17,161,3,2,2,1,0,1,1,Standard,Never,Central,1,1,C,22,Fall,2021,711.4
PROP_000166,Elmwood,1.1,691,30,1.0,47,244,2,4,1,1,1,0,0,Standard,Partial,Central,0,1,C,33,Spring,2022,904.8
PROP_000167,Mountain View,3.5,163,30,1.0,3,185,3,3,1,0,1,0,0,Standard,Partial,Central,0,1,A,67,Spring,2021,1200.0
PROP_000168,Coastal Heights,5.2,50,76,1.0,7,196,4,2,2,1,1,1,1,Basic,Full,Central,1,1,A,3,Summer,2022,1200.0
PROP_000169,Forest Glen,0.5,249,85,1.0,8,328,1,3,1,1,1,0,1,Standard,Partial,Central,0,2,D,120,Fall,2020,1055.0
PROP_000170,Oakwood,3.5,219,189,1.0,3,58,1,3,2,1,1,0,0,Standard,Partial,Gas,1,2,C,61,Spring,2021,332.5
PROP_000171,Oakwood,3.8,530,222,1.0,17,202,3,2,1,1,1,1,1,Basic,Never,Electric,0,2,C,13,Summer,2020,624.3
PROP_000172,Coastal Heights,2.3,370,106,1.0,19,159,2,3,2,1,0,0,0,Basic,Partial,Central,0,1,D,33,Summer,2023,983.5
PROP_000173,Maple Heights,15.9,183,105,1.0,8,186,3,3,1,1,0,0,1,Standard,Never,Gas,0,2,E,102,Summer,2020,640.4
PROP_000174,Pine Valley,5.8,662,41,1.0,8,88,1,1,3,1,1,1,0,Standard,Full,Central,1,1,C,24,Winter,2020,349.6
PROP_000175,Mountain View,2.8,197,30,1.0,21,111,2,3,1,1,1,0,0,Standard,Partial,Gas,0,2,A,27,Spring,2022,674.7
PROP_000176,Downtown,0.7,346,103,1.0,4,141,4,3,2,1,0,0,1,Standard,Never,Gas,0,1,E,20,Fall,2020,979.2
PROP_000177,Downtown,0.5,325,396,1.0,12,86,4,2,2,0,0,1,1,Basic,Partial,Gas,0,2,A,108,Spring,2022,605.7
PROP_000178,Sunset District,2.8,707,339,1.0,6,50,3,2,2,0,1,1,0,Standard,Partial,Electric,0,0,C,4,Spring,2021,257.2
PROP_000179,Garden City,19.2,555,326,1.0,3,158,4,2,2,1,1,1,1,Standard,Partial,Gas,0,2,F,16,Fall,2020,531.8
PROP_000180,Forest Glen,1.2,573,309,1.0,0,389,3,2,1,1,1,0,1,Standard,Never,Central,1,0,C,12,Summer,2020,1200.0
PROP_000181,Cedar Park,0.5,52,30,1.0,14,148,3,4,2,1,1,0,0,Premium,Full,Central,0,0,E,15,Spring,2022,1200.0
PROP_000182,Pine Valley,0.6,80,297,1.0,18,122,6,3,2,1,0,1,0,Standard,Never,Gas,0,2,B,13,Fall,2021,625.0
PROP_000183,Downtown,1.4,140,30,1.0,59,91,4,2,3,0,1,0,0,Standard,Never,Gas,0,2,G,37,Spring,2021,381.1
PROP_000184,Maple Heights,5.8,467,105,1.0,83,209,4,3,2,1,0,1,0,Basic,Never,Electric,1,1,D,51,Fall,2023,858.9
PROP_000185,Riverside,0.5,111,576,1.0,2,436,4,2,2,0,0,0,1,Standard,Never,Gas,0,1,A,31,Fall,2023,1200.0
PROP_000186,Riverside,3.1,50,72,1.0,85,235,2,1,1,1,1,1,1,Premium,Partial,Electric,0,2,G,24,Winter,2023,1023.5
